date,trade_code,high,low,open,close,volume
2020-07-02,ACFL,18.6,18.6,18.6,18.6,200
2020-08-10,ACI,271,263,269.1,265.2,146119
2020-08-09,ACI,276.2,262.1,262.1,269,203746
2020-08-06,ACI,266,249.7,251,261.9,153768
2020-08-05,ACI,256.1,245.1,255.9,250.6,93831
2020-08-04,ACI,260,248.4,249,255.9,103405
2020-08-03,ACI,254,243.2,245,249,139763
2020-07-30,ACI,245,236,238.7,242.3,101852
2020-07-29,ACI,239.9,231,232,238.8,136307
2020-07-28,ACI,232.5,223,232.5,229.5,93345
2020-07-27,ACI,238.7,225.5,228,234.5,206465
2020-07-26,ACI,229.1,210,210,223.5,181208
2020-07-23,ACI,212.3,208.1,210.3,210.7,61508
2020-07-22,ACI,211.1,208,209.4,210.3,61222
2020-07-21,ACI,210,205.8,206.3,209.4,64406
2020-07-20,ACI,207,203,203,206.4,58212
2020-07-19,ACI,207,203.5,207,205.4,35399
2020-07-16,ACI,209.9,207.6,208,208,52204
2020-07-15,ACI,208.9,205.5,205.6,208.1,56084
2020-07-14,ACI,212.9,206,209.4,207.7,74735
2020-07-13,ACI,215,207.5,213.7,209.3,71577
2020-07-12,ACI,215,205.5,210,213.7,118840
2020-07-09,ACI,210.5,199.6,200.1,208,167651
2020-07-08,ACI,205,199.6,201.9,200.7,106796
2020-07-07,ACI,203.5,196.5,197.8,201.9,98599
2020-07-06,ACI,198.6,191,192.6,197.4,69717
2020-07-05,ACI,197.4,191.5,197.1,192.6,45213
2020-07-02,ACI,203.1,197.3,203.1,198,65034
2020-08-10,ACIFORMULA,127.8,123.2,127.1,125.6,91930
2020-08-09,ACIFORMULA,131,125,127.4,126.4,70409
2020-08-06,ACIFORMULA,127,122.1,122.1,125.5,85651
2020-08-05,ACIFORMULA,128.8,120.7,126.7,122.8,105287
2020-08-04,ACIFORMULA,132.2,126,131.9,126.7,84999
2020-08-03,ACIFORMULA,134,123,125.9,129.4,92759
2020-07-30,ACIFORMULA,127,122.1,124.8,123.9,88376
2020-07-29,ACIFORMULA,126.8,120.4,121,125.4,148534
2020-07-28,ACIFORMULA,121,114.1,118,120.2,75211
2020-07-27,ACIFORMULA,121.3,112.5,112.5,118,196646
2020-07-26,ACIFORMULA,111.9,107,107,110.3,63306
2020-07-23,ACIFORMULA,108.8,105.9,107.4,106.2,31459
2020-07-22,ACIFORMULA,109.9,106.8,108.5,107.4,32657
2020-07-21,ACIFORMULA,108.5,106.2,107,107.5,26696
2020-07-20,ACIFORMULA,108.3,103.5,104,107,34186
2020-07-19,ACIFORMULA,107.9,103.8,107.8,104.7,42277
2020-07-16,ACIFORMULA,109.5,106.3,108.3,106.8,35949
2020-07-15,ACIFORMULA,109.9,107.7,109.1,108.3,45707
2020-07-14,ACIFORMULA,112.8,109,112.8,109.5,41272
2020-07-13,ACIFORMULA,115.4,110.5,113,111.4,60456
2020-07-12,ACIFORMULA,114,108,109.1,113.4,81873
2020-07-09,ACIFORMULA,111.4,107.7,107.7,109.2,73515
2020-07-08,ACIFORMULA,110.8,108,108.8,108.5,79218
2020-07-07,ACIFORMULA,109.9,107.1,108.9,108.8,49120
2020-07-06,ACIFORMULA,108.8,105,106.4,108.1,34343
2020-07-05,ACIFORMULA,108.9,106.1,108.9,106.7,34141
2020-07-02,ACIFORMULA,110.2,107.8,110.2,108.9,37951
2020-08-10,ACMELAB,71.4,68.4,70,69.7,738872
2020-08-09,ACMELAB,70.5,67.5,67.5,69.5,586307
2020-08-06,ACMELAB,67.5,65.8,66.9,67.1,253378
2020-08-05,ACMELAB,68.3,66.1,68.3,66.8,272674
2020-08-04,ACMELAB,68.4,65.3,65.8,68.2,464061
2020-08-03,ACMELAB,66.3,64.6,64.8,65.8,446921
2020-07-30,ACMELAB,64.5,62.8,63.6,64.4,725734
2020-07-29,ACMELAB,63.9,63.2,63.5,63.6,74496
2020-07-28,ACMELAB,64,63.6,63.9,63.6,116414
2020-07-27,ACMELAB,64,63.1,63.3,63.8,209900
2020-07-26,ACMELAB,63.5,62.3,62.4,63.3,120544
2020-07-23,ACMELAB,62.7,62.2,62.7,62.6,74833
